time,temp
02.04.2022 15:00,13.6
01.04.2022 15:00,13.9
31.03.2022 15:00,13.6
30.03.2022 15:00,12.2
29.03.2022 15:00,9.4
28.03.2022 15:00,4.6
27.03.2022 15:00,5.0
26.03.2022 15:00,8.4
25.03.2022 15:00,8.0
24.03.2022 15:00,9.2
23.03.2022 15:00,10.1
22.03.2022 15:00,9.5
21.03.2022 15:00,6.0
20.03.2022 15:00,6.5
19.03.2022 15:00,4.2
18.03.2022 15:00,0.1
17.03.2022 15:00,-3.8
16.03.2022 15:00,-0.1
15.03.2022 15:00,4.1
14.03.2022 15:00,1.1
13.03.2022 15:00,0.5
12.03.2022 15:00,-0.2
11.03.2022 15:00,0.0
10.03.2022 15:00,-1.9
09.03.2022 15:00,0.1
08.03.2022 15:00,1.1
07.03.2022 15:00,2.7
06.03.2022 15:00,2.4
05.03.2022 15:00,1.6
04.03.2022 15:00,3.4
03.03.2022 15:00,4.4
02.03.2022 15:00,3.7
01.03.2022 15:00,5.6
28.02.2022 15:00,2.4
27.02.2022 15:00,3.7
26.02.2022 15:00,4.6
25.02.2022 15:00,7.2
24.02.2022 15:00,4.9
23.02.2022 15:00,6.6
22.02.2022 15:00,8.9
21.02.2022 15:00,6.7
20.02.2022 15:00,5.6
19.02.2022 15:00,5.3
18.02.2022 15:00,3.6
17.02.2022 15:00,6.0
16.02.2022 15:00,2.4
15.02.2022 15:00,6.8
14.02.2022 15:00,6.9
13.02.2022 15:00,2.6
12.02.2022 15:00,2.3
11.02.2022 15:00,2.3
10.02.2022 15:00,1.7
09.02.2022 15:00,2.8
08.02.2022 15:00,5.3
07.02.2022 15:00,1.4
06.02.2022 15:00,0.2
05.02.2022 15:00,0.0
04.02.2022 15:00,2.1
03.02.2022 15:00,5.1
02.02.2022 15:00,3.8
01.02.2022 15:00,2.7
31.01.2022 15:00,1.5
30.01.2022 15:00,0.9
29.01.2022 15:00,0.7
28.01.2022 15:00,-4.3
27.01.2022 15:00,-5.2
26.01.2022 15:00,-1.4
25.01.2022 15:00,-1.7
24.01.2022 15:00,-6.4
23.01.2022 15:00,-1.4
22.01.2022 15:00,-0.5
21.01.2022 15:00,0.7
20.01.2022 15:00,-3.9
19.01.2022 15:00,-2.1
18.01.2022 15:00,1.6
17.01.2022 15:00,1.6
16.01.2022 15:00,1.8
15.01.2022 15:00,2.1
14.01.2022 15:00,0.2
13.01.2022 15:00,-7.7
12.01.2022 15:00,-3.1
11.01.2022 15:00,2.7
10.01.2022 15:00,2.5
09.01.2022 15:00,2.4
08.01.2022 15:00,1.1
07.01.2022 15:00,5.2
06.01.2022 15:00,5.9
05.01.2022 15:00,4.0
04.01.2022 15:00,3.1
03.01.2022 15:00,-0.7
02.01.2022 15:00,1.5
01.01.2022 15:00,2.0
31.12.2021 15:00,-1.6
30.12.2021 15:00,-0.8
29.12.2021 15:00,0.8
28.12.2021 15:00,-3.0
27.12.2021 15:00,-2.4
26.12.2021 15:00,-0.6
25.12.2021 15:00,2.2
24.12.2021 15:00,-5.9
23.12.2021 15:00,-8.5
22.12.2021 15:00,-8.3
21.12.2021 15:00,2.1
20.12.2021 15:00,3.9
19.12.2021 15:00,1.2
18.12.2021 15:00,2.2
17.12.2021 15:00,1.4
16.12.2021 15:00,1.8
15.12.2021 15:00,4.7
14.12.2021 15:00,5.3
13.12.2021 15:00,3.1
12.12.2021 15:00,0.6
11.12.2021 15:00,1.6
10.12.2021 15:00,8.0
09.12.2021 15:00,6.6
08.12.2021 15:00,6.9
07.12.2021 15:00,9.4
06.12.2021 15:00,5.6
05.12.2021 15:00,4.1
04.12.2021 15:00,7.4
03.12.2021 15:00,8.7
02.12.2021 15:00,5.1
01.12.2021 15:00,3.9
30.11.2021 15:00,7.1
29.11.2021 15:00,12.9
28.11.2021 15:00,12.7
27.11.2021 15:00,3.9
26.11.2021 15:00,4.6
25.11.2021 15:00,1.8
24.11.2021 15:00,0.6
23.11.2021 15:00,5.9
22.11.2021 15:00,9.2
21.11.2021 15:00,6.4
20.11.2021 15:00,6.1
19.11.2021 15:00,3.0
18.11.2021 15:00,6.0
17.11.2021 15:00,4.0
16.11.2021 15:00,4.5
15.11.2021 15:00,7.2
14.11.2021 15:00,8.9
13.11.2021 15:00,9.7
12.11.2021 15:00,7.1
11.11.2021 15:00,2.5
10.11.2021 15:00,1.5
